language;category;theme;subtopicId;subtopicTitle;title;synthesiaId;order
no;karriere;meg_i_kontekst;introduksjon;Introduksjon;Introduksjon;333df989-181c-4a92-94a4-8c135f7133ad;1
no;karriere;meg_i_kontekst;nye_ord;Nye ord;Nye ord;fead9de6-5f58-4a6f-b679-ca5127cc6995;2
no;karriere;meg_i_kontekst;egenskaper;Egenskaper;Egenskaper;89da4ac0-1300-414d-a7dc-60ff3d02a8ef;3
no;karriere;meg_i_kontekst;refleksjonsoppgave;Refklesjonsoppgave;Refklesjonsoppgave;f83d08d8-5928-4d68-a74d-433d681e8ee5;4
no;karriere;meg_i_kontekst;interesser;Interesser;Interesser;5573f1b8-1ec4-427c-b99c-e6b9e286afc6;5
no;karriere;meg_i_kontekst;oppgave;Oppgave;Oppgave;297354d3-37b8-4e09-8d96-eb54f6a29af4;6
no;karriere;meg_i_kontekst;verdier;Verdier;Verdier;63eeadde-6ec9-471f-9015-fbfd7423c539;7
no;karriere;meg_i_kontekst;refleksjonsoppgave;Refklesjonsoppgave;Refklesjonsoppgave;0d33bba9-4b8d-4aea-aaff-379063cb23af;8
no;karriere;meg_i_kontekst;roller;Roller;Roller;79be18d3-c494-41a9-98bb-992af706521d;9
no;karriere;meg_i_kontekst;case;Case;Case;65f01e87-59ef-4392-9dfa-fd59dde27559;10
no;karriere;meg_i_kontekst;oppsummering;Oppsummering;Oppsummering;ec6982da-943c-4d33-bab5-94d9b650c2af;11
no;karriere;muligheter_og_begrensninger;introduksjon;Introduksjon;Introduksjon;5bdfcd55-0966-4176-bcf3-118f77c4bca2;1
no;karriere;muligheter_og_begrensninger;nye_ord;Nye ord;Nye ord;d76afb62-9fad-4ac3-beb7-e4f3739916a1;2
no;karriere;muligheter_og_begrensninger;mulighetshorisont;Mulighetshorisont;Mulighetshorisont;30c722f6-2159-4e84-8570-b0b8aa88f5f2;3
no;karriere;muligheter_og_begrensninger;begrensninger;Begrensninger ;Begrensninger ;ffd4dd81-7dfa-4c1f-9cef-7861de44e278;4
no;karriere;muligheter_og_begrensninger;case;Case;Case;0b53fa38-6b1b-42d5-bcc1-18606e6b85cb;5
no;karriere;muligheter_og_begrensninger;refleksjonsoppgave;Refklesjonsoppgave;Refklesjonsoppgave;f794b2b3-ea25-44fa-b215-95d7cd35967c;6
no;karriere;muligheter_og_begrensninger;tankefeller;Tankefeller;Tankefeller;3c8d94e8-7a2e-4851-97eb-5eea71a1ff45;7
no;karriere;muligheter_og_begrensninger;religion;Religion;Religion;1c40da25-7828-491a-b908-7d09e240a34b;8
no;karriere;muligheter_og_begrensninger;oppsummering;Oppsummering;Oppsummering;dc23a1ab-784a-42dd-baf7-d57d0ff80d63;9
no;karriere;valg_og_tilfeldigheter;introduksjon;Introduksjon;Introduksjon;4ec0ac76-ad86-49ee-937d-ea470285f7e9;1
no;karriere;valg_og_tilfeldigheter;nye_ord;Nye ord;Nye ord;4b145b0c-17c1-4d18-9918-b510f7d8a624;2
no;karriere;valg_og_tilfeldigheter;egne_valg;Egne valg;Egne valg;fce0f14c-8e98-43dd-be46-da280a817c5f;3
no;karriere;valg_og_tilfeldigheter;case;Case;Case;9e6d1dd2-3890-4f87-bdfa-c0862d7e7a11;4
no;karriere;valg_og_tilfeldigheter;gode_tilfeldigheter;Gode tilfeldigheter ;Gode tilfeldigheter ;011aa5e1-0a4e-49df-8db5-2c050af14bc6;5
no;karriere;valg_og_tilfeldigheter;case;Case;Case;1d172561-5e2a-4b69-a08d-dd32971d580a;6
no;karriere;valg_og_tilfeldigheter;refleksjonsoppgave;Refklesjonsoppgave;Refklesjonsoppgave;9cc7ba27-2f39-4b50-9d14-b4f8038d2570;7
no;karriere;valg_og_tilfeldigheter;oppsummering;Oppsummering;Oppsummering;f29357d3-f890-46cb-81ae-b799df27db38;8
no;karriere;tilpasning_og_motstand;introduksjon;Introduksjon;Introduksjon;f9fb1bb7-a4ef-4871-8701-06962e617f74;1
no;karriere;tilpasning_og_motstand;nye_ord;Nye ord;Nye ord;3ad2e889-22b7-4f42-bafe-7a1f709ac119;2
no;karriere;tilpasning_og_motstand;case;Case;Case;620e1dca-193d-4ff8-8a92-66f63d64b695;3
no;karriere;tilpasning_og_motstand;refleksjonsoppgave;Refklesjonsoppgave;Refklesjonsoppgave;737b713d-dbe1-441c-91cd-88b0f8d47d3d;4
no;karriere;tilpasning_og_motstand;oppsummering;Oppsummering;Oppsummering;9026ce3a-180a-46d6-b359-29c7e20a4e3f;5
no;karriere;endring_og_stabilitet;introduksjon;Introduksjon;Introduksjon;2fe0de6e-bee7-478b-8624-f1b494b128cf;1
no;karriere;endring_og_stabilitet;nye_ord;Nye ord;Nye ord;7af39ff6-9ef0-4c3a-b788-26f4057cd29e;2
no;karriere;endring_og_stabilitet;endring;Endring ;Endring ;fa88b839-9331-4301-ae21-418831518808;3
no;karriere;endring_og_stabilitet;stabilitet;Stabilitet;Stabilitet;68cde487-59e2-4eb6-8811-33ffeaf0fa51;4
no;karriere;endring_og_stabilitet;case;Case;Case;ab5d697b-0279-47c7-947b-12e71e6813e4;5
no;karriere;endring_og_stabilitet;refleksjonsoppgave;Refklesjonsoppgave;Refklesjonsoppgave;30610df8-199c-4761-b10a-3ab58b1194fa;6
no;karriere;endring_og_stabilitet;oppsummering;Oppsummering;Oppsummering;304ddcd7-5fc0-42a6-869c-37bf9488a495;